450-2_Cortex	449-4_Midbrain	454-6_Cerebellum	463-5_Hippocampus	490-2_Thalamus	337-4_Striatum	490-4_Striatum	463-5_Midbrain
ENSMUSG00000100480	3.5448903498016	8.49530147267892	8.43352586716647	9.71350543235159	8.08385426421735	6.52992861602637	6.44178897296829	7.76987554186761
ENSMUSG00000051285	1916.01323406777	1587.6774530051	2568.00862655219	2929.16152704469	2214.97606839555	2886.22844828366	3299.26958565526	2456.83464633854
ENSMUSG00000103509	24.8142324486112	15.1027581736514	43.010981922549	76.6287650774403	46.8863547324606	84.8890720083428	77.3014676756195	6.21590043349409
ENSMUSG00000026312	413.865948339337	871.240362142516	1281.8959318093	174.843097782329	482.606099573776	537.319840404456	643.105265801334	523.689611521877
ENSMUSG00000039748	57.604468184276	64.1867222380185	10.9635836273164	10.792783813724	19.4012502341216	26.1197144641055	16.1044724324207	10.8778257586147
ENSMUSG00000103540	0	3.77568954341285	23.6138724280661	0	2.4251562792652	2.79854083543987	1.07363149549471	3.10795021674705
ENSMUSG00000057363	787.851880243406	630.540153749946	865.27975397128	1323.19529556256	810.810582701	1041.05719078363	1302.31500403509	910.629413506884
ENSMUSG00000047216	6.20355811215281	7.5513790868257	124.816182834064	238.5205222833	327.396097700802	223.88326683519	404.759073801507	382.277876659887
ENSMUSG00000100555	1.7724451749008	6.60745670097249	0.843352586716647	6.47567028823439	6.46708341137388	31.7167961349852	12.8835779459366	7.76987554186761
ENSMUSG00000038702	486.53620051027	363.410118553487	172.887280276913	536.401355542082	415.510109180772	396.459951687315	458.440648576243	348.090424275669
ENSMUSG00000055214	98.3707072069945	216.158226360386	1083.70807393089	61.5188677382267	410.659796622241	599.82058572928	471.32422652218	539.229362605612
ENSMUSG00000078184	1.7724451749008	0.943922385853213	17.7104043210496	0	2.4251562792652	8.39562250631962	1.07363149549471	4.66192532512057
ENSMUSG00000104157	24.8142324486112	54.7474983794864	33.7341034686659	5.39639190686199	39.610885894665	156.718286784633	93.4059401080402	68.374904768435
ENSMUSG00000033007	648.714934013693	4696.95779200559	37.9508664022491	382.064547005829	421.977192592145	7584.04566404206	4171.05835999697	1701.60274366901
ENSMUSG00000070695	940.282165284875	1182.73474947408	175.417338037063	751.177753435189	686.319227032053	678.179729121596	858.905196395772	924.615189482246
ENSMUSG00000025909	324.357467006847	377.568954341285	127.346240594214	665.91476130677	456.73776592828	438.438064218914	453.07249109877	509.703835546516
ENSMUSG00000061024	950.03061374683	771.184589242075	760.704033218416	885.008272725367	830.211832935121	836.763709796522	775.161939747184	1095.55245140333
ENSMUSG00000025911	417.410838689139	588.063646386552	153.49017078243	637.853523391087	566.678183921636	734.150545830394	686.050525621123	620.036068241036
ENSMUSG00000067879	2238.59825589971	2129.48890248485	614.804035716436	8526.29921284195	655.600580828027	2114.7640246474	978.078292395685	1081.56667542797
ENSMUSG00000057335	6547.41247608356	4691.29425769047	3248.59416403252	1941.62180808894	1761.47184417296	1498.15219390548	1456.91793938633	1272.70561375792
ENSMUSG00000104154	20.3831195113592	56.6353431511928	88.5520216052479	22.6648460088204	28.2934899247607	15.8583980674926	15.030840936926	10.8778257586147
ENSMUSG00000025912	84.1911458077881	120.822065389211	128.18959318093	51.8053623058751	115.599115978308	44.776653367038	48.3134172972622	111.886207802894
ENSMUSG00000045210	1397.57302040928	1312.99603872182	1332.4970870123	2061.42170842128	1636.98048850401	1411.39742800684	1286.21053160267	1490.26212893021
ENSMUSG00000041763	1600.51799293542	1326.21095212376	1620.08031908268	1536.8924150743	1235.21293157241	1345.16529490143	1172.40559308023	1240.07213648207
ENSMUSG00000026504	455.518409949506	365.297963325193	393.845657996674	702.610226273431	648.325111990231	551.312544581655	675.314210666176	574.970790098203
ENSMUSG00000047343	33.6764583231152	26.42982680389	1.68670517343329	1.0792783813724	0.808385426421735	3.7313877805865	2.14726299098943	0
ENSMUSG00000026483	147.112949516767	169.906029453578	161.923696649596	96.0557759421435	54.970208996678	125.934337594794	73.0069416936406	85.4686309605438
ENSMUSG00000100534	1.7724451749008	0	0	1.0792783813724	9.70062511706081	0	2.14726299098943	4.66192532512057
ENSMUSG00000019699	7348.55769513872	3283.90598038333	3292.44849854179	4176.80733591118	2369.3776848421	2530.81376218279	2426.40717981806	1760.6537977872
ENSMUSG00000104391	0.886222587450401	4.71961192926607	10.9635836273164	1.0792783813724	6.46708341137388	1.86569389029325	7.515420468463	1.55397510837352
ENSMUSG00000063659	17974.366518669	1216.71595536479	22895.3360241835	12927.5964520786	2071.89184791891	2089.57715712844	2833.31351661055	1442.08890057063
ENSMUSG00000026049	60.2631359466273	78.3455580258167	77.5884379779315	62.5981461195991	84.8804697742821	65.2992861602637	48.3134172972622	73.0368300935556
ENSMUSG00000043019	1731.67893587808	1439.48163842615	1690.07858378016	1525.0203528792	1311.20116165605	1082.10245637008	1139.12301671989	1066.02692434424
ENSMUSG00000032666	1838.91186895958	2030.37705197026	3433.28838052347	2803.96523480549	1725.9028854104	1301.32148847954	1355.99657880982	1732.68224583648
ENSMUSG00000015961	3505.89655595379	2611.83324165584	1658.03118548493	2492.05378258887	2261.05403770159	2139.01804522121	2458.6161246829	2822.01879680632
ENSMUSG00000014980	363.351260854664	408.718393074441	396.375715756824	523.450014965613	582.037507023649	316.235114404706	372.550128936666	722.598425393688
ENSMUSG00000026235	4843.20644041644	1909.55498658105	619.864151236736	10325.4562745897	3189.88889266016	5391.85534294749	4908.64319740184	1348.85039406822
ENSMUSG00000032649	272.956556934723	362.466196167634	76.7450853912149	173.763819400956	223.92276311882	166.979603181246	166.412881801681	278.161544398861
ENSMUSG00000101849	20.3831195113592	5.66353431511928	2.53005776014994	18.3477324833308	16.1677085284347	11.1941633417595	10.7363149549471	15.5397510837352
ENSMUSG00000026047	211.807198400646	238.812363620863	220.958377719762	196.428665409777	232.81500280946	208.024868767697	222.241719567406	192.692913438317
ENSMUSG00000091476	27.4729002109624	37.7568954341285	51.4445077897155	84.1837137470471	53.3534381438345	73.6949086665833	99.8477290810085	45.0652781428322
ENSMUSG00000102493	0	0	0.843352586716647	3.2378351441172	3.23354170568694	5.59708167087975	11.8099464504419	0
ENSMUSG00000004872	3.5448903498016	201.055468186734	243.728897561111	0	29.1018753511824	0	0	65.266954551688
ENSMUSG00000118426	10.6346710494048	61.3549550804588	2.53005776014994	0	38.8025004682433	13.0598572320527	13.9572094414313	12.4318008669882
ENSMUSG00000041684	705.433179610519	618.269162733855	652.754902118685	678.866101883239	600.630371831349	588.62642238752	506.754065873505	700.842773876459
ENSMUSG00000032908	122.298717068155	182.17702046967	2268.61845826778	165.129592349977	1428.4170484872	1082.10245637008	1102.61954587307	1473.1684027381
ENSMUSG00000026502	938.509720109975	831.595621936681	968.168769550711	543.956304211689	476.947401588823	735.08339277554	611.969952431987	433.559055236213
ENSMUSG00000104126	6.20355811215281	14.1588357877982	16.0236991476163	0	3.23354170568694	3.7313877805865	4.29452598197886	3.10795021674705
ENSMUSG00000026500	304.860570082938	269.961802354019	620.707503823452	287.088049445058	347.605733361346	454.296462286406	407.979968287992	498.826009787901
ENSMUSG00000026048	790.510548005758	898.614111332259	942.868191949211	725.275072282252	884.373656505378	942.175414598091	902.924087711055	848.470409171944
ENSMUSG00000026245	2145.54488421742	1837.81688525621	1216.95778263212	1762.46159678113	1771.98085471644	1215.49956952605	1265.81153318827	2574.93675457493
ENSMUSG00000104018	4.431112937252	15.1027581736514	21.9271672546328	11.8720621950964	21.8264065133868	11.1941633417595	33.2825763603362	1.55397510837352
ENSMUSG00000090486	19.4968969239088	65.1306446238717	1.68670517343329	24.8234027715652	350.839275067033	8.39562250631962	79.4487306666089	369.846075792898
ENSMUSG00000026482	1638.62556419579	880.679586001048	944.554897122645	3450.45298524756	1392.03970429823	2426.33490432637	2352.32660662892	1651.87554020105
ENSMUSG00000080950	16.8382291615576	4.71961192926607	0.843352586716647	6.47567028823439	0	7.462775561173	3.22089448648414	1.55397510837352
ENSMUSG00000012187	0.886222587450401	5.66353431511928	0.843352586716647	4.31711352548959	7.27546883779561	0	8.58905196395772	26.4175768423499
ENSMUSG00000008475	8037.15264558769	4475.13603133008	2312.47279277705	5242.05509832574	1868.17872046063	3960.86812909257	2544.50664432247	2111.85217227962
ENSMUSG00000056870	126.729830005407	180.289175697964	73.3716750443483	75.5494866960679	149.551303888021	233.211736286656	206.137247134985	175.599187246208
ENSMUSG00000039630	17739.5175329947	14027.6305761646	17009.5783214881	14836.8399087264	11888.9244663845	13130.7535998839	14306.1396774671	10340.1503711174
ENSMUSG00000104279	42.5386841976192	44.364352135101	21.0838146679162	31.2990730597996	38.8025004682433	35.4481839155717	31.1353133693467	77.6987554186761
ENSMUSG00000026495	319.040131482144	519.157312219267	435.16993474579	480.278879710717	718.654644088922	408.586961974222	503.533171387021	913.737363723631
ENSMUSG00000032883	3006.06701663176	2962.97236919324	4193.14906115517	5547.49088025413	7927.02749149153	6816.31262818639	6968.94203725619	8124.18186657678
ENSMUSG00000026480	62.0355811215281	86.8408594984956	118.069362140331	123.037735476453	131.766824506743	277.988389653694	179.296459747617	124.318008669882
ENSMUSG00000026494	2407.86677010274	4576.13572661638	2898.60284054512	686.421050552845	834.25376006723	577.432259045761	499.238645405042	672.871221925735
ENSMUSG00000025915	241.052543786509	157.635038437487	210.838146679162	230.965573613693	248.174325911473	723.889229433781	925.470349116444	313.902971891452
ENSMUSG00000079470	287.13611833393	328.484990276918	263.96935964231	262.264646673493	314.461930878055	431.908135602887	324.236711639404	156.951485945726
ENSMUSG00000047330	54.0595778344745	58.5231879228992	21.0838146679162	41.0125784921511	171.377710401408	42.9109594767447	44.0188913152833	51.2811785763263
ENSMUSG00000050711	7025.97267330678	10357.6603399673	4908.31205469088	9648.74872946924	18639.7511624324	5856.41312163051	9534.92131148856	27407.4589863838
ENSMUSG00000055067	1312.49565201404	1120.43587200776	760.704033218416	773.84259944401	833.445374640808	757.471719459059	895.408667242592	1045.82524793538
ENSMUSG00000054702	24.8142324486112	33.0372835048625	47.2277448561322	28.0612379156824	41.2276567475085	13.9927041771994	15.030840936926	32.633477275844
ENSMUSG00000096474	6.20355811215281	6.60745670097249	4.21676293358323	0	2.4251562792652	12.1270102869061	5.36815747747357	4.66192532512057
